location,month,inc,epi_m3,pre,m3
PE,2022-10-01,1.78006668063448,FALSE,4.459154341966,1.80586474846976
AL,2022-10-01,7.71137321958471,TRUE,3.76074198701667,7.29540702931666
SE,2022-10-01,3.84290563451345,FALSE,2.59656716970158,3.19488625300726
BA,2022-10-01,1.75318641631165,FALSE,3.10749828945093,1.52352126968716
MG,2022-10-01,1.54427938832445,FALSE,6.58714219564422,1.59092949484675
ES,2022-10-01,0,FALSE,10.0107909449537,1.08246744900953e-15
RJ,2022-10-01,0.553698992135428,FALSE,1.56693347501293,0.569748238284281
SP,2022-10-01,1.53177830531305,FALSE,6.85951251144783,1.39851721397612
PR,2022-10-01,0.844924357724413,FALSE,8.42804452315355,0.895619819187878
SC,2022-10-01,0.257660438069124,FALSE,1.74273086633731,0.438022744717508
RS,2022-10-01,0.108251995490222,FALSE,0.381665310847904,0.0781819967429386
MS,2022-10-01,8.25763248736124,FALSE,12.463745200619,8.09295035798366
MT,2022-10-01,2.43113608839188,FALSE,7.31871328003893,2.37828530386162
GO,2022-10-01,12.6851184985888,FALSE,19.2490133607959,12.5123359537726
DF,2022-10-01,14.6748494630681,TRUE,8.00808098899717,15.3817963680489
RO,2022-10-01,6.24853453305196,TRUE,4.84033150734982,6.22791230687027
AC,2022-10-01,3.73593000554364,FALSE,19.9076178812364,3.25387452095736
AM,2022-10-01,5.89535815186341,TRUE,3.30415117366066,5.57486657851462
RR,2022-10-01,0.15752868991265,FALSE,4.58785549077711,0.210038253216867
PA,2022-10-01,0.568520857964302,FALSE,1.4848882295236,0.497455750718764
AP,2022-10-01,0.645771231666555,FALSE,3.11327342968705,0.645771231666555
TO,2022-10-01,2.84036038492564,FALSE,10.0215445339353,2.88243979803565
MA,2022-10-01,0.838160722465134,TRUE,0.638578848994235,1.06853238302573
PI,2022-10-01,0.736822392032494,FALSE,1.58424786433578,0.777756969367632
CE,2022-10-01,2.17088902717427,FALSE,5.24104670577372,2.33501122166855
RN,2022-10-01,4.93348422329252,FALSE,5.37118743007576,5.29668551580486
PB,2022-10-01,4.26697256559912,FALSE,3.52823651584221,3.73773565823799
PE,2022-10-01,1.99013666157892,FALSE,4.459154341966,1.87957351371342
AL,2022-10-01,6.36748245102638,TRUE,3.76074198701667,6.55946684653471
SE,2022-10-01,2.12490076261332,FALSE,2.59656716970158,2.5770073078502
BA,2022-10-01,1.500782146259,FALSE,3.10749828945093,1.58491690294321
MG,2022-10-01,1.87726463143191,FALSE,6.58714219564422,1.75983505294474
RJ,2022-10-01,0.601846730581987,FALSE,1.56693347501293,0.6058590421192
SP,2022-10-01,1.4079323997771,FALSE,6.85951251144783,1.48108115100009
PR,2022-10-01,1.02235847284654,FALSE,8.42804452315355,1.01672564379504
SC,2022-10-01,0.450905766620966,FALSE,1.74273086633731,0.369313294565742
RS,2022-10-01,0.00902099962418515,FALSE,0.381665310847904,0.0691609971187534
MS,2022-10-01,8.01060929329487,FALSE,12.463745200619,8.56347072763388
MT,2022-10-01,2.35185991159649,FALSE,7.31871328003893,2.99487779004797
GO,2022-10-01,12.4979374083713,FALSE,19.2490133607959,12.3011572878862
DF,2022-10-01,14.7774707879847,TRUE,8.00808098899717,15.1993584570861
