topicTitle,topicId,value,geo,keyword,time,sys_time
Yellow fever mosquito,/m/06y6_w,50,BR-AC,Dengue,2024-10,2024-11-13 10:30
Zika fever,/m/02vkznh,48,BR-AC,Dengue,2024-10,2024-11-13 10:30
Body,/m/0180q,45,BR-AC,Dengue,2024-10,2024-11-13 10:30
2023,/g/11b77b4nfc,42,BR-AC,Dengue,2024-10,2024-11-13 10:30
Aedes,/m/01yz26,40,BR-AC,Dengue,2024-10,2024-11-13 10:30
Malaria,/m/0542n,35,BR-AC,Dengue,2024-10,2024-11-13 10:30
Cause,/m/0j276x9,32,BR-AC,Dengue,2024-10,2024-11-13 10:30
Combat,/m/0byj4,23,BR-AC,Dengue,2024-10,2024-11-13 10:30
Chikungunya virus infection,/m/01__7l,22,BR-AC,Dengue,2024-10,2024-11-13 10:30
Bleeding,/m/012n6x,22,BR-AC,Dengue,2024-10,2024-11-13 10:30
Dengue vaccine,/m/0115n7rn,7,BR-AC,Dengue,2024-10,2024-11-13 10:30
Bolivia,/m/0165v,6,BR-AC,Dengue,2024-10,2024-11-13 10:30
Drawing,/m/02csf,3,BR-AC,Dengue,2024-10,2024-11-13 10:30
Vaccine,/m/07__7,2,BR-AC,Dengue,2024-10,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2024-11,2024-11-13 10:31
Yellow fever mosquito,/m/06y6_w,45,BR-AC,Dengue,2024-11,2024-11-13 10:31
Disease,/m/027x3,34,BR-AC,Dengue,2024-11,2024-11-13 10:31
Mosquito,/m/09f96,30,BR-AC,Dengue,2024-11,2024-11-13 10:31
Dengue vaccine,/m/0115n7rn,27,BR-AC,Dengue,2024-11,2024-11-13 10:31
Cause,/m/0j276x9,26,BR-AC,Dengue,2024-11,2024-11-13 10:31
Vaccine,/m/07__7,25,BR-AC,Dengue,2024-11,2024-11-13 10:31
Virus,/m/0g9pc,25,BR-AC,Dengue,2024-11,2024-11-13 10:31
Metamizole,/m/08j19g,23,BR-AC,Dengue,2024-11,2024-11-13 10:31
Bleeding,/m/012n6x,21,BR-AC,Dengue,2024-11,2024-11-13 10:31
Acetaminophen,/m/0lbt3,21,BR-AC,Dengue,2024-11,2024-11-13 10:31
Diarrhea,/m/0f3kl,21,BR-AC,Dengue,2024-11,2024-11-13 10:31
Fever,/m/0cjf0,19,BR-AC,Dengue,2024-11,2024-11-13 10:31
Malaria,/m/0542n,18,BR-AC,Dengue,2024-11,2024-11-13 10:31
Zika virus,/m/080m_5j,18,BR-AC,Dengue,2024-11,2024-11-13 10:31
Itch,/m/04kllm9,17,BR-AC,Dengue,2024-11,2024-11-13 10:31
Influenza,/m/0cycc,16,BR-AC,Dengue,2024-11,2024-11-13 10:31
Tea,/m/07clx,16,BR-AC,Dengue,2024-11,2024-11-13 10:31
COVID-19,/g/11j2cc_qll,16,BR-AC,Dengue,2024-11,2024-11-13 10:31
Butylscopolamine,/m/06v01l,16,BR-AC,Dengue,2024-11,2024-11-13 10:31
Zika fever,/m/02vkznh,15,BR-AC,Dengue,2024-11,2024-11-13 10:31
Yellow fever,/m/087z2,15,BR-AC,Dengue,2024-11,2024-11-13 10:31
HIV/AIDS,/m/0d19y2,15,BR-AC,Dengue,2024-11,2024-11-13 10:31
Vomiting,/m/012qjw,14,BR-AC,Dengue,2024-11,2024-11-13 10:31
Fast,/g/11l869b5t2,13,BR-AC,Dengue,2024-11,2024-11-13 10:31
Symptom,/m/01b_06,100,BR-AL,Dengue,2022-12,2024-11-13 10:31
Yellow fever,/m/087z2,52,BR-AL,Dengue,2022-12,2024-11-13 10:31
Yellow fever mosquito,/m/06y6_w,38,BR-AL,Dengue,2022-12,2024-11-13 10:31
Fever,/m/0cjf0,37,BR-AL,Dengue,2022-12,2024-11-13 10:31
Mosquito,/m/09f96,36,BR-AL,Dengue,2022-12,2024-11-13 10:31
